cst_id,cst_key,cst_firstname,cst_lastname,cst_marital_status,cst_gndr,cst_create_date,dwh_create_date
11000,AW00011000,Jon,Yang,Maried,Male,2025-10-06,2026-01-30 22:06:32.9900000
11001,AW00011001,Eugene,Huang,Single,Male,2025-10-06,2026-01-30 22:06:32.9900000
11002,AW00011002,Ruben,Torres,Maried,Male,2025-10-06,2026-01-30 22:06:32.9900000
11003,AW00011003,Christy,Zhu,Single,Female,2025-10-06,2026-01-30 22:06:32.9900000
11004,AW00011004,Elizabeth,Johnson,Single,Female,2025-10-06,2026-01-30 22:06:32.9900000
11005,AW00011005,Julio,Ruiz,Single,Male,2025-10-06,2026-01-30 22:06:32.9900000
11006,AW00011006,Janet,Alvarez,Single,Female,2025-10-06,2026-01-30 22:06:32.9900000
11007,AW00011007,Marco,Mehta,Maried,Male,2025-10-06,2026-01-30 22:06:32.9900000
11008,AW00011008,Rob,Verhoff,Single,Female,2025-10-06,2026-01-30 22:06:32.9900000
11009,AW00011009,Shannon,Carlson,Single,Male,2025-10-06,2026-01-30 22:06:32.9900000
11010,AW00011010,Jacquelyn,Suarez,Single,Female,2025-10-06,2026-01-30 22:06:32.9900000
11011,AW00011011,Curtis,Lu,Maried,Male,2025-10-06,2026-01-30 22:06:32.9900000
11012,AW00011012,Lauren,Walker,Maried,Female,2025-10-06,2026-01-30 22:06:32.9900000
11013,AW00011013,Ian,Jenkins,Maried,Male,2025-10-06,2026-01-30 22:06:32.9900000
11014,AW00011014,Sydney,Bennett,Single,Female,2025-10-06,2026-01-30 22:06:32.9900000
11015,AW00011015,Chloe,Young,Single,Female,2025-10-06,2026-01-30 22:06:32.9900000
11016,AW00011016,Wyatt,Hill,Maried,Male,2025-10-07,2026-01-30 22:06:32.9900000
11017,AW00011017,Shannon,Wang,Single,Female,2025-10-07,2026-01-30 22:06:32.9900000
11018,AW00011018,Clarence,Rai,Single,Male,2025-10-07,2026-01-30 22:06:32.9900000
11019,AW00011019,Luke,Lal,Single,Male,2025-10-07,2026-01-30 22:06:32.9900000
11020,AW00011020,Jordan,King,Single,Male,2025-10-07,2026-01-30 22:06:32.9900000
11021,AW00011021,Destiny,Wilson,Single,Female,2025-10-07,2026-01-30 22:06:32.9900000
11022,AW00011022,Ethan,Zhang,Maried,Male,2025-10-07,2026-01-30 22:06:32.9900000
11023,AW00011023,Seth,Edwards,Maried,Male,2025-10-07,2026-01-30 22:06:32.9900000
11024,AW00011024,Russell,Xie,Maried,Male,2025-10-07,2026-01-30 22:06:32.9900000
11025,AW00011025,Alejandro,Beck,Maried,Male,2025-10-07,2026-01-30 22:06:32.9900000
11026,AW00011026,Harold,Sai,Single,Male,2025-10-07,2026-01-30 22:06:32.9900000
11027,AW00011027,Jessie,Zhao,Maried,Male,2025-10-07,2026-01-30 22:06:32.9900000
11028,AW00011028,Jill,Jimenez,Maried,Female,2025-10-07,2026-01-30 22:06:32.9900000
11029,AW00011029,Jimmy,Moreno,Maried,Male,2025-10-07,2026-01-30 22:06:32.9900000
11030,AW00011030,Bethany,Yuan,Maried,Female,2025-10-07,2026-01-30 22:06:32.9900000
11031,AW00011031,Theresa,Ramos,Maried,Female,2025-10-07,2026-01-30 22:06:32.9900000
11032,AW00011032,Denise,Stone,Maried,Female,2025-10-07,2026-01-30 22:06:32.9900000
11033,AW00011033,Jaime,Nath,Maried,Male,2025-10-07,2026-01-30 22:06:32.9900000
11034,AW00011034,Ebony,Gonzalez,Maried,Female,2025-10-07,2026-01-30 22:06:32.9900000
11035,AW00011035,Wendy,Dominguez,Maried,Female,2025-10-07,2026-01-30 22:06:32.9900000
11036,AW00011036,Jennifer,Russell,Maried,Female,2025-10-07,2026-01-30 22:06:32.9900000
11037,AW00011037,Chloe,Garcia,Single,Female,2025-10-07,2026-01-30 22:06:32.9900000
